addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80012ED8	384	func_80012ED8	medium	0	u32	1	36	24	s0|ra	gp
0x80013058	144	func_80013058	verified	0	u32	1	5	32	s0|s1|s2|ra	
0x80013138	436	func_80013138	low	0	u32	1	8	0	s0|s1|s2|s3|ra	gp|orphan
0x800132EC	856	func_800132EC	low	1	u32	1	6	0	s0|s1|s2|s3|s4|s5|s6|s7|ra	orphan
0x80013644	36	func_80013644	medium	0	void	0	1	24	ra	gp|orphan
0x80013668	44	func_80013668	low	1	u32	23	0	0		leaf|orphan
0x80013694	64	func_80013694	medium	0	u32	1	1	32	ra	orphan
0x800136D4	44	func_800136D4	low	1	u32	0	0	0		leaf|orphan
0x80013700	44	func_80013700	low	1	u32	9	0	0		leaf|orphan
0x8001372C	44	func_8001372C	low	1	u32	0	0	0		leaf|orphan
0x80013758	64	func_80013758	low	1	u32	3	0	0		leaf|orphan
0x800137D8	44	func_800137D8	low	1	u32	3	0	0		leaf|orphan
0x80013804	44	func_80013804	low	1	u32	5	0	0		leaf|orphan
0x80013830	104	func_80013830	low	1	u32	2	0	0		leaf|orphan
0x80013898	120	func_80013898	low	1	u32	1	0	0		leaf|orphan
0x80013910	92	func_80013910	low	1	u32	1	0	0		leaf|orphan
0x8001396C	84	func_8001396C	low	1	u32	0	0	0		leaf|orphan
0x800139C0	80	func_800139C0	low	1	u32	0	0	0		leaf|orphan
0x80013A10	120	func_80013A10	low	1	u32	0	0	0		leaf|orphan
0x80013A88	92	func_80013A88	low	1	u32	1	0	0		leaf|orphan
0x80013AE4	84	func_80013AE4	low	1	u32	0	0	0		leaf|orphan
0x80013B38	92	func_80013B38	low	1	u32	0	0	0		leaf|orphan
0x80013BE8	92	func_80013BE8	low	1	u32	1	0	0		leaf|orphan
0x80013C44	84	func_80013C44	low	1	u32	0	0	0		leaf|orphan
0x80013C98	92	func_80013C98	low	1	u32	0	0	0		leaf|orphan
0x80013CF4	80	func_80013CF4	low	1	u32	0	0	0		leaf|orphan
0x80013D44	64	func_80013D44	low	1	u32	0	0	0		leaf|orphan
0x80013D84	68	func_80013D84	low	1	u32	0	0	0		leaf|orphan
0x80013DC8	40	func_80013DC8	low	2	u32	0	0	0		leaf|orphan
0x80013DF0	52	func_80013DF0	low	2	u32	4	0	0		leaf|orphan
0x80013E24	52	func_80013E24	low	2	u32	1	0	0		leaf|orphan
0x800150DC	412	func_800150DC	medium	1	u32	0	1	24	s0|ra	orphan
0x80015278	360	func_80015278	medium	1	u32	1	1	24	s0|ra	orphan
0x800153E0	292	func_800153E0	medium	1	u32	0	1	56	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	orphan
0x80015504	420	func_80015504	medium	2	u32	0	9	48	s0|s1|s2|s3|s4|s5|ra	gp|orphan
0x800156A8	184	func_800156A8	low	0	u32	0	0	0		leaf|orphan
0x80015760	396	func_80015760	medium	0	u32	0	1	40	s0|s1|s2|s3|ra	gp|orphan
0x800158EC	184	func_800158EC	low	0	u32	0	0	0		leaf|orphan
0x800159A4	68	func_800159A4	medium	0	u32	0	1	24	ra	gp|orphan
0x800159E8	52	func_800159E8	medium	0	u32	0	1	24	ra	gp|orphan
0x80015B80	80	func_80015B80	low	1	u32	0	0	0		leaf|orphan
0x80015EFC	356	func_80015EFC	medium	2	u32	0	8	48	s0|s1|s2|s3|s4|s5|s6|ra	orphan
0x80016060	784	func_80016060	medium	1	u32	0	3	72	s0|s1|s2|ra	gp|orphan
0x80016370	788	func_80016370	medium	1	u32	0	2	24	s0|ra	gp|orphan
0x80016684	140	func_80016684	medium	4	u32	2	1	40	s0|s1|s2|s3|s4|ra	orphan
0x80016710	72	func_80016710	low	3	u32	1	0	0		leaf|orphan
0x80016758	64	func_80016758	low	0	u32	1	0	0		leaf|orphan
0x80016798	348	func_80016798	medium	2	u32	9	0	32	s0|s1|ra	orphan|indirect
0x800173D0	416	func_800173D0	medium	1	u32	0	7	64	s0|s1|s2|s3|ra	gp|orphan
0x80017F7C	1924	func_80017F7C	medium	2	u32	0	6	120	s0|s1|s2|s3|s4|s5|s6|s7|ra	gp|orphan
0x80018700	536	func_80018700	medium	1	u32	0	7	32	s0|s1|s2|ra	orphan|indirect
0x80018918	264	func_80018918	medium	1	u32	0	4	32	s0|s1|ra	orphan
0x80018A20	96	func_80018A20	medium	0	u32	1	3	24	s0|ra	gp|orphan
0x80018A80	176	func_80018A80	low	1	u32	1	0	0		leaf|gp|orphan
0x80018C84	76	func_80018C84	medium	1	u32	0	2	24	ra	orphan
0x80018E40	84	func_80018E40	medium	1	u32	1	1	24	s0|ra	orphan|indirect
0x80018E94	168	func_80018E94	medium	1	u32	0	1	32	s0|s1|ra	orphan
0x80018F3C	92	func_80018F3C	medium	1	u32	2	1	32	s0|s1|ra	orphan
0x800190E4	136	func_800190E4	medium	1	u32	0	0	32	s0|s1|ra	orphan|indirect
0x80019464	272	func_80019464	medium	1	u32	0	3	144	s0|s1|s2|s3|ra	orphan
0x80019894	348	func_80019894	medium	1	u32	0	3	144	s0|s1|s2|s3|ra	orphan
0x80019D1C	272	func_80019D1C	medium	1	u32	0	3	144	s0|s1|s2|s3|ra	orphan
0x8001A3BC	912	func_8001A3BC	medium	1	u32	0	4	152	s0|s1|s2|s3|s4|s5|s6|ra	orphan
0x8001ACB4	260	func_8001ACB4	medium	1	u32	0	3	144	s0|s1|s2|s3|ra	orphan
0x8001ADB8	60	func_8001ADB8	low	0	u32	0	0	0		leaf|orphan
0x8001B2BC	356	func_8001B2BC	medium	1	u32	0	4	72	s0|s1|s2|s3|s4|ra	orphan
0x8001B420	320	func_8001B420	medium	1	u32	0	2	48	s0|s1|s2|s3|s4|s5|ra	orphan
0x8001B560	164	func_8001B560	medium	0	u32	0	5	40	s0|s1|s2|s3|ra	orphan
0x8001B604	56	func_8001B604	low	1	u32	0	0	0		leaf|orphan
