addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80012ED8	384	func_80012ED8	medium	0	u32	1	37	24	s0|ra	gp
0x80013058	144	func_80013058	verified	0	u32	1	5	32	s0|s1|s2|ra	
0x800130E8	80	func_800130E8	verified	0	u32	1	4	24	ra	addr_taken
0x80013138	436	func_80013138	low	0	u32	3	8	0	s0|s1|s2|s3|ra	gp|orphan
0x800132EC	856	func_800132EC	low	1	u32	1	6	0	s0|s1|s2|s3|s4|s5|s6|s7|ra	orphan
0x80013644	36	func_80013644	medium	0	void	2	1	24	ra	gp|orphan
0x80013668	44	func_80013668	high	1	u32	50	0	0		leaf
0x80013694	64	func_80013694	verified	0	u32	1	1	32	ra	
0x800136D4	44	func_800136D4	high	1	u32	1	0	0		leaf
0x80013700	44	func_80013700	high	1	u32	11	0	0		leaf
0x8001372C	44	func_8001372C	high	1	u32	2	0	0		leaf
0x80013758	64	func_80013758	high	1	u32	6	0	0		leaf
0x80013798	64	func_80013798	low	1	u32	0	0	0		leaf|orphan
0x800137D8	44	func_800137D8	high	1	u32	5	0	0		leaf
0x80013804	44	func_80013804	high	1	u32	12	0	0		leaf
0x80013830	104	func_80013830	high	1	u32	3	0	0		leaf
0x80013898	120	func_80013898	high	1	u32	12	0	0		leaf
0x80013910	92	func_80013910	high	1	u32	4	0	0		leaf
0x8001396C	84	func_8001396C	high	1	u32	12	0	0		leaf
0x800139C0	80	func_800139C0	high	1	u32	2	0	0		leaf
0x80013A10	120	func_80013A10	high	1	u32	2	0	0		leaf
0x80013A88	92	func_80013A88	high	1	u32	3	0	0		leaf
0x80013AE4	84	func_80013AE4	high	1	u32	4	0	0		leaf
0x80013B38	92	func_80013B38	high	1	u32	1	0	0		leaf
0x80013B94	84	func_80013B94	low	1	u32	0	0	0		leaf|orphan
0x80013BE8	92	func_80013BE8	high	1	u32	3	0	0		leaf
0x80013C44	84	func_80013C44	high	1	u32	5	0	0		leaf
0x80013C98	92	func_80013C98	high	1	u32	3	0	0		leaf
0x80013CF4	80	func_80013CF4	high	1	u32	1	0	0		leaf
0x80013D44	64	func_80013D44	high	1	u32	2	0	0		leaf
0x80013D84	68	func_80013D84	high	1	u32	2	0	0		leaf
0x80013DC8	40	func_80013DC8	high	2	u32	5	0	0		leaf
0x80013DF0	52	func_80013DF0	high	2	u32	11	0	0		leaf
0x80013E24	52	func_80013E24	high	2	u32	10	0	0		leaf
0x80013E58	360	func_80013E58	medium	1	u32	0	2	40	s0|s1|s2|s3|ra	gp|orphan
0x80013FC0	424	func_80013FC0	high	1	u32	0	10	32	s0|s1|s2|ra	gp|addr_taken
0x80014168	608	func_80014168	medium	1	u32	0	13	32	s0|s1|s2|ra	gp|orphan
0x800143C8	3348	func_800143C8	medium	1	u32	0	37	56	s0|s1|s2|s3|s4|s5|s6|s7|ra	gp|orphan
0x800150DC	412	func_800150DC	medium	1	u32	1	1	24	s0|ra	orphan
0x80015278	360	func_80015278	medium	1	u32	1	1	24	s0|ra	orphan
0x800153E0	292	func_800153E0	medium	1	u32	1	1	56	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	orphan
0x80015504	420	func_80015504	medium	2	u32	4	9	48	s0|s1|s2|s3|s4|s5|ra	gp|orphan
0x800156A8	184	func_800156A8	low	0	u32	1	0	0		leaf|orphan
0x80015760	396	func_80015760	medium	0	u32	1	1	40	s0|s1|s2|s3|ra	gp|orphan
0x800158EC	184	func_800158EC	low	0	u32	1	0	0		leaf|orphan
0x800159A4	68	func_800159A4	medium	0	u32	4	1	24	ra	gp|orphan
0x800159E8	52	func_800159E8	medium	0	u32	5	1	24	ra	gp|orphan
0x80015A1C	28	func_80015A1C	high	1	u32	0	0	0		leaf|addr_taken
0x80015A38	28	func_80015A38	high	1	u32	0	0	0		leaf|addr_taken
0x80015A54	28	func_80015A54	high	1	u32	0	0	0		leaf|addr_taken
0x80015A70	272	func_80015A70	medium	1	u32	0	5	32	s0|s1|ra	gp|orphan
0x80015B80	80	func_80015B80	low	1	u32	1	0	0		leaf|orphan
0x80015BD0	156	func_80015BD0	medium	1	u32	0	3	32	s0|s1|ra	gp|orphan
0x80015C6C	16	func_80015C6C	low	0	u32	0	0	0		leaf|gp|orphan
0x80015C7C	640	func_80015C7C	medium	1	u32	0	11	40	s0|s1|s2|s3|ra	gp|orphan
0x80015EFC	356	func_80015EFC	medium	2	u32	1	8	48	s0|s1|s2|s3|s4|s5|s6|ra	orphan
0x80016060	784	func_80016060	medium	1	u32	1	3	72	s0|s1|s2|ra	gp|orphan
